,Index,Name,Hex colour,Stanford,Animal-pose,(name in animal pose)
0,0,L_eye,d82400,y,n,
1,1,R_eye,d82400,y,n,
2,2,L_ear,fcfc00,y,n,
3,3,R_ear,fcfc00,y,n,
4,4,Nose,d848ff,y,n,
5,5,Throat,fc90aa,y,n,
6,6,Tail,48b455,y,n,
7,7,withers,48b455,y,n,
8,8,L_F_elbow,0090aa,y,n,
9,9,R_F_elbow,0090aa,y,n,
10,10,L_B_elbow,0090aa,y,n,
11,11,R_B_elbow,0090aa,y,n,
12,12,L_F_knee,006caa,y,n,
13,13,R_F_knee,006caa,y,n,
14,14,L_B_knee,006caa,y,n,
15,15,R_B_knee,006caa,y,n,
16,16,L_F_paw,d89000,y,n,
17,17,R_F_paw,d89000,y,n,
18,18,L_B_paw,d89000,y,n,
19,19,R_B_paw,d89000,y,n,
